Tên sản phẩm,Giá sản phẩm,Màu,Màn hình,Camera trước,Camera sau,Chip,Ram,Bộ nhớ trong,Thẻ sim,Pin,Hệ điều hành,Link,Loại sản phẩm,Cửa hàng
iPhone Xs Max 512GB (Cũ 99%),13.990.000 VNĐ,JetBlack Màu Bạc Vàng (Gold) ,"OLED, 6.5"", Super Retina",7 MP,2 camera 12 MP,Apple A12 Bionic 6 nhân,4 GB,512 GB,1 Nano Sim,3.174 mAh,iOS,https://www.xtmobile.vn/iphone-xs-max-512gb-likenew-99,IPHONE,XTMOBILE
iPhone 11 Pro 64GB (VN/A) (Cũ 99% - Fullbox),16.790.000 VNĐ,Vàng (Gold) ,"5.8"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,64 GB,Nano-Sim,3190 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-64gb-vna-cu,IPHONE,XTMOBILE
iPhone X 256GB (Cũ 99%),8.790.000 VNĐ,Màu Bạc Màu Xám ,"OLED, 5.8"", Super Retina",7 MP,2 camera 12 MP,Apple A11 Bionic 6 nhân,3 GB,256 GB,1 Nano Sim,2716 mAh,iOS,https://www.xtmobile.vn/iphone-x-256gb-quoc-te,IPHONE,XTMOBILE
iPhone Xr 128GB (Cũ 99%),9.690.000 VNĐ,Màu Trắng Màu Đỏ Màu Đen Màu Cam Xanh dương Vàng ,"LCD, 6.1"", Super Retina",7 MP,12 MP,Apple A12 Bionic 6 nhân,3 GB,128 GB,2 Sim,2942 mAh,iOS,https://www.xtmobile.vn/iphone-xr-128gb,IPHONE,XTMOBILE
iPhone Xs 512GB (Cũ 99%),10.990.000 VNĐ,Màu Xám Vàng (Gold) ,"OLED, 5.8"", Super Retina",7 MP,2 camera 12 MP,Apple A12 Bionic 6 nhân,4 GB,512 GB,1 Nano Sim,2716 mAh,iOS,https://www.xtmobile.vn/iphone-xs-512gb-likenew-99-,IPHONE,XTMOBILE
iPhone 11 256GB (Cũ 99%),14.990.000 VNĐ,Màu Đỏ Màu Trắng Da Xanh Màu Tím ,Liquid Retina LCD,12 MP,12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,256 GB,Nano-Sim,3110 mAh,iOS,https://www.xtmobile.vn/iphone-11-256gb-like-new,IPHONE,XTMOBILE
iPhone 12 Pro Max 256GB (Cũ Fullbox),27.990.000 VNĐ,Pacific Blue [Xanh] Silver [Trắng] ,"6.7"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP + LiDAR,Apple A14 Bionic 6 nhân (5nm),6GB LPDDR5,256GB,Nano-Sim,3.687mAh,iOS,https://www.xtmobile.vn/iphone-12-pro-max-256-gb-cu,IPHONE,XTMOBILE
iPhone 12 Pro Max 256GB (VN/A - TBH),30.690.000 VNĐ,Pacific Blue [Xanh] ,"6.7"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP + LiDAR,Apple A14 Bionic 6 nhân (5nm),6GB LPDDR5,256GB,Nano-Sim,3.687 mAh,iOS,https://www.xtmobile.vn/iphone-12-pro-max-256gb,IPHONE,XTMOBILE
iPhone 6s 32GB (Cũ 97%),2.690.000 VNĐ,Màu Hồng Màu Xám Vàng (Gold) ,"LED-backlit IPS LCD, 4.7"", Retina HD",5 MP,12 MP,Apple A9 2 nhân 64-bit,2 GB,32 GB,1 Nano SIM,1715 mAh,IOS,https://www.xtmobile.vn/iphone-6s-32gb-likenew,IPHONE,XTMOBILE
iPhone 6s 32GB (Cũ 99%),2.990.000 VNĐ,Màu Hồng Màu Bạc ,"LED-backlit IPS LCD, 4.7"", Retina HD",5 MP,12 MP,Apple A9 2 nhân 64-bit,2 GB,32 GB,1 Nano SIM,1715 mAh,IOS,https://www.xtmobile.vn/iphone-6s-32gb-quoc-te-99-,IPHONE,XTMOBILE
iPhone 7 128GB (Cũ 97%),4.090.000 VNĐ,Màu Hồng Màu Đen ,"LED-backlit IPS LCD, 4.7"", Retina HD",7 MP,12 MP,Apple A10 Fusion 4 nhân 64-bit,2 GB,128 GB,1 Nano SIM,1960 mAh,IOS,https://www.xtmobile.vn/iphone-7-128gb-quoc-te-97-,IPHONE,XTMOBILE
iPhone 6s Plus 64GB (Cũ 97%),4.390.000 VNĐ,Màu Xám Màu Bạc ,"LED-backlit IPS LCD, 5.5"", Retina HD",5 MP,12 MP,Apple A9 2 nhân 64-bit,2 GB,64 GB,1 Nano SIM,2750 mAh,IOS,https://www.xtmobile.vn/iphone-6s-plus-64gb-refurbished,IPHONE,XTMOBILE
iPhone 8 256GB (Cũ 99%),5.990.000 VNĐ,Màu Xám Vàng (Gold) Màu Bạc ,"LED-backlit IPS LCD, 4.7"", Retina HD",7 MP,12 MP,Apple A11 Bionic 6 nhân,2 GB,64 GB,1 Nano SIM,1821 mAh,iOS,https://www.xtmobile.vn/iphone-8-256gb-may-cu-99,IPHONE,XTMOBILE
iPhone 7 Plus 256GB (Cũ 97%),6.690.000 VNĐ,Màu Hồng ,,,,,,,,,,https://www.xtmobile.vn/iphone-7-plus-256gb,IPHONE,XTMOBILE
iPhone SE 2020 64GB (Cũ 99%),7.590.000 VNĐ,Màu Đỏ ,"4.7 inches, 750 x 1334 pixels","7 MP, f/2.2",12 MP,Apple A13 Bionic (7 nm+),3 GB,64 GB,,1821 mAh,iOS 13,https://www.xtmobile.vn/iphone-se-2020-64gb,IPHONE,XTMOBILE
